Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Bachelor,0-1 years,"Cloud Computing, Machine Learning, Data Science","Python, Java, Docker",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Data Science, Docker, Java, Cloud Computing","Docker, Java"
Master,1-3 years,"Data Science, Cloud Computing","React, AWS, Docker, Java",AWS Certified,IT,Cloud Engineer,AWS Training,"Data Science, AWS, Docker, Java, React, Cloud Computing","AWS, Docker, Java, React"
Master,3-5 years,Data Science,"SQL, Docker, Python, Java","Azure Fundamentals, Google Data Engineer",IT,Data Scientist,"Azure Fundamentals, Google Cloud Certification","Python, Data Science, Docker, Java, SQL","Docker, Java, SQL"
Master,0-1 years,"Web Development, Data Science, Machine Learning","Docker, AWS, React, Java","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Data Science, AWS, React, Docker, Java, Web Development","AWS, React, Docker, Java"
PhD,1-3 years,Cloud Computing,"Java, Python, ML, SQL, AWS","Azure Fundamentals, Google Data Engineer",IT,Cloud Engineer,"Azure Fundamentals, Google Cloud Certification","Python, AWS, Java, ML, SQL, Cloud Computing","AWS, Java, ML, SQL"
PhD,1-3 years,"Cybersecurity, Data Science","AWS, ML, React, Docker","AWS Certified, Google Data Engineer",IT,Data Scientist,"AWS Training, Google Cloud Certification","Data Science, AWS, Cybersecurity, Docker, ML, React","AWS, Docker, ML, React"
PhD,3-5 years,"Cloud Computing, Web Development, AI","AWS, ML, SQL","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","AWS, AI, ML, SQL, Web Development, Cloud Computing","AWS, ML, SQL"
Bachelor,1-3 years,"Cybersecurity, AI","React, Java, AWS",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Cybersecurity, AWS, AI, Java, React","AWS, Java, React"
PhD,0-1 years,"Cybersecurity, Cloud Computing, Machine Learning","SQL, Docker, ML","Google Data Engineer, AWS Certified",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, Cybersecurity, Docker, ML, SQL, Cloud Computing","Docker, ML, SQL"
Master,5+ years,Machine Learning,"Docker, React, ML, AWS, Java",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, AWS, Docker, ML, Java, React","AWS, Docker, ML, Java, React"
Bachelor,5+ years,"Cybersecurity, Cloud Computing, Data Science","Java, ML, AWS, Docker, Python","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, Data Science, Cybersecurity, AWS, Docker, Java, ML, Cloud Computing","AWS, Docker, Java, ML"
Master,1-3 years,"AI, Machine Learning, Data Science","Docker, ML, Java, React, SQL",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Data Science, AI, Docker, ML, Java, SQL, React","Docker, ML, Java, SQL, React"
Bachelor,5+ years,AI,"Docker, ML, Python",AWS Certified,IT,AI Engineer,AWS Training,"AI, Docker, ML, Python","Docker, ML"
Bachelor,0-1 years,"Data Science, Machine Learning","React, Java, Python","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, Data Science, Java, React","Java, React"
PhD,1-3 years,Data Science,"SQL, Java, AWS","Google Data Engineer, Azure Fundamentals",IT,Data Scientist,"Azure Fundamentals, Google Cloud Certification","SQL, Data Science, AWS, Java","SQL, AWS, Java"
PhD,5+ years,"Web Development, Cloud Computing, Data Science","Java, ML, AWS, Docker, SQL","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Data Science, AWS, Docker, Java, ML, SQL, Web Development, Cloud Computing","AWS, Docker, Java, ML, SQL"
PhD,1-3 years,"AI, Web Development, Cybersecurity","AWS, React, ML, Docker, Java",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"AWS, Cybersecurity, React, AI, Docker, ML, Java, Web Development","AWS, React, Docker, ML, Java"
Bachelor,5+ years,Cybersecurity,"Docker, Java, ML",Azure Fundamentals,IT,Software Engineer,Azure Fundamentals,"Java, Docker, Cybersecurity, ML","Java, Docker, ML"
PhD,3-5 years,"Data Science, Cloud Computing","React, Java, Python",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, Data Science, Java, React, Cloud Computing","Java, React"
PhD,0-1 years,"Data Science, Cybersecurity, AI","Docker, ML, SQL, AWS, Java","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Data Science, Cybersecurity, AWS, AI, Docker, ML, Java, SQL","AWS, Docker, ML, Java, SQL"
PhD,1-3 years,Web Development,"ML, Python, Docker","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Web Development, ML, Docker","ML, Docker"
Bachelor,3-5 years,Machine Learning,"Python, Docker, AWS","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","AWS, Machine Learning, Python, Docker","AWS, Docker"
Master,0-1 years,"AI, Cloud Computing, Cybersecurity","SQL, AWS, React, Java","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AWS, Cybersecurity, AI, Java, SQL, React, Cloud Computing","AWS, Java, SQL, React"
Master,3-5 years,Cybersecurity,"Docker, AWS, Java, ML, Python",Google Data Engineer,IT,Software Engineer,Google Cloud Certification,"Python, AWS, Cybersecurity, Docker, Java, ML","AWS, Docker, Java, ML"
PhD,3-5 years,AI,"React, Docker, Java",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"AI, Docker, React, Java","Docker, React, Java"
Bachelor,0-1 years,"Data Science, AI","SQL, React, Docker, Java",AWS Certified,IT,AI Engineer,AWS Training,"Data Science, AI, Docker, Java, SQL, React","Docker, Java, SQL, React"
Bachelor,3-5 years,Cloud Computing,"Python, React, ML","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, React, ML, Cloud Computing","React, ML"
PhD,3-5 years,"Machine Learning, Data Science, Cloud Computing","AWS, React, SQL, ML, Docker",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, Data Science, AWS, Docker, ML, SQL, React, Cloud Computing","AWS, Docker, ML, SQL, React"
Bachelor,1-3 years,"Web Development, AI, Cybersecurity","ML, AWS, SQL, React","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","AWS, Cybersecurity, React, AI, ML, SQL, Web Development","AWS, React, ML, SQL"
Bachelor,5+ years,"Web Development, AI","ML, Java, Python, AWS, Docker","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Python, AWS, AI, Docker, Java, ML, Web Development","AWS, Docker, Java, ML"
Bachelor,1-3 years,AI,"AWS, Java, ML","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AI, Java, AWS, ML","Java, AWS, ML"
Master,0-1 years,"Cloud Computing, Cybersecurity","SQL, Java, ML, Python, React",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, Cybersecurity, Java, ML, SQL, React, Cloud Computing","Java, ML, SQL, React"
Bachelor,1-3 years,"Web Development, Cloud Computing, Machine Learning","AWS, React, Docker, Python","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, AWS, React, Docker, Web Development, Cloud Computing","AWS, React, Docker"
Bachelor,1-3 years,"Cybersecurity, Cloud Computing","ML, Python, AWS, SQL",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, AWS, Cybersecurity, ML, SQL, Cloud Computing","AWS, ML, SQL"
Bachelor,3-5 years,Machine Learning,"ML, Docker, Python, React",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Docker, ML, React","Docker, ML, React"
Master,0-1 years,"Machine Learning, AI, Web Development","ML, Python, React, Java","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Python, React, AI, ML, Java, Web Development","React, ML, Java"
Bachelor,5+ years,"Cloud Computing, Data Science, Cybersecurity","ML, AWS, Docker, Python, Java",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, Data Science, AWS, Cybersecurity, Docker, ML, Java, Cloud Computing","AWS, Docker, ML, Java"
Master,1-3 years,"Cloud Computing, Data Science","AWS, Docker, Java, Python, ML","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, Data Science, AWS, Docker, Java, ML, Cloud Computing","AWS, Docker, Java, ML"
Bachelor,0-1 years,Web Development,"SQL, Python, Java",Google Data Engineer,IT,Web Developer,Google Cloud Certification,"SQL, Python, Web Development, Java","SQL, Java"
Master,3-5 years,Cloud Computing,"Python, ML, AWS, React, SQL",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"Python, AWS, ML, SQL, React, Cloud Computing","AWS, ML, SQL, React"
Bachelor,5+ years,Cloud Computing,"Docker, Python, AWS, SQL, ML","AWS Certified, Azure Fundamentals",IT,Cloud Engineer,"AWS Training, Azure Fundamentals","Python, AWS, Docker, ML, SQL, Cloud Computing","AWS, Docker, ML, SQL"
PhD,1-3 years,"AI, Data Science, Cloud Computing","Docker, SQL, AWS",AWS Certified,IT,AI Engineer,AWS Training,"Data Science, AWS, AI, Docker, SQL, Cloud Computing","AWS, Docker, SQL"
Master,1-3 years,"Cloud Computing, Cybersecurity, Machine Learning","AWS, Java, React, Python",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, AWS, Cybersecurity, Java, React, Cloud Computing","AWS, Java, React"
Master,3-5 years,"Cloud Computing, Cybersecurity","React, AWS, ML, SQL","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","AWS, Cybersecurity, ML, SQL, React, Cloud Computing","AWS, ML, SQL, React"
Bachelor,1-3 years,"Machine Learning, Data Science, Web Development","Java, ML, AWS","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, Data Science, AWS, Java, ML, Web Development","AWS, Java, ML"
Bachelor,1-3 years,"Cybersecurity, AI","AWS, Docker, Python, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Python, AWS, Cybersecurity, AI, Docker, ML","AWS, Docker, ML"
Master,0-1 years,"Cybersecurity, Data Science, Cloud Computing","React, Docker, AWS, SQL","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Data Science, Cybersecurity, AWS, Docker, SQL, React, Cloud Computing","AWS, Docker, SQL, React"
PhD,3-5 years,"Web Development, Machine Learning, Cybersecurity","SQL, Java, Python",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Cybersecurity, Java, SQL, Web Development","Java, SQL"
Bachelor,1-3 years,Machine Learning,"Python, React, Docker, SQL, ML",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Docker, ML, SQL, React","Docker, ML, SQL, React"
PhD,0-1 years,"Cloud Computing, AI, Web Development","AWS, ML, Java, React",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"AWS, React, AI, ML, Java, Web Development, Cloud Computing","AWS, React, ML, Java"
Bachelor,3-5 years,"Data Science, Cloud Computing, Machine Learning","Java, Python, SQL, Docker, React",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, Python, Data Science, Docker, Java, SQL, React, Cloud Computing","Docker, Java, SQL, React"
Master,5+ years,"Machine Learning, Web Development, AI","React, SQL, AWS, Docker","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, AWS, React, AI, Docker, SQL, Web Development","AWS, React, Docker, SQL"
Master,1-3 years,"Cybersecurity, Cloud Computing, AI","Docker, SQL, Python, AWS",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Python, Cybersecurity, AWS, AI, Docker, SQL, Cloud Computing","AWS, Docker, SQL"
Master,5+ years,Machine Learning,"ML, SQL, Java, Docker",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Docker, Java, ML, SQL","Docker, Java, ML, SQL"
PhD,0-1 years,AI,"SQL, React, Docker, Python","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Python, AI, Docker, SQL, React","Docker, SQL, React"
Master,0-1 years,AI,"Java, Docker, SQL, Python, React",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Python, AI, Docker, Java, SQL, React","Docker, Java, SQL, React"
Bachelor,5+ years,Cloud Computing,"Java, Docker, AWS, React, ML",Azure Fundamentals,IT,Cloud Engineer,Azure Fundamentals,"AWS, Docker, Java, ML, React, Cloud Computing","AWS, Docker, Java, ML, React"
PhD,1-3 years,AI,"Docker, Python, SQL","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AI, SQL, Docker, Python","SQL, Docker"
PhD,1-3 years,Cloud Computing,"Java, SQL, Python, React",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, Java, SQL, React, Cloud Computing","Java, SQL, React"
PhD,0-1 years,Machine Learning,"Java, SQL, Docker, ML","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Docker, Java, ML, SQL","Docker, Java, ML, SQL"
Master,0-1 years,Cloud Computing,"Docker, SQL, AWS, React",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"AWS, Docker, SQL, React, Cloud Computing","AWS, Docker, SQL, React"
Bachelor,3-5 years,Machine Learning,"Python, Java, AWS, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, AWS, Java, ML","AWS, Java, ML"
Bachelor,5+ years,"Machine Learning, Cloud Computing","AWS, Docker, ML",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, AWS, Docker, ML, Cloud Computing","AWS, Docker, ML"
Master,1-3 years,"Cybersecurity, Web Development, Cloud Computing","Docker, Python, SQL, ML, AWS","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Cybersecurity, AWS, Docker, ML, SQL, Web Development, Cloud Computing","AWS, Docker, ML, SQL"
Bachelor,3-5 years,"Data Science, Cloud Computing, Cybersecurity","AWS, Java, React, SQL, Docker","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Data Science, AWS, Cybersecurity, Docker, Java, SQL, React, Cloud Computing","AWS, Docker, Java, SQL, React"
Master,1-3 years,"Machine Learning, Web Development","SQL, AWS, React, Docker, Python","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, AWS, React, Docker, SQL, Web Development","AWS, React, Docker, SQL"
PhD,5+ years,Web Development,"Python, Java, ML, AWS","Google Data Engineer, AWS Certified",IT,Web Developer,"AWS Training, Google Cloud Certification","Python, AWS, Java, ML, Web Development","AWS, Java, ML"
Master,5+ years,"Cloud Computing, Web Development, Data Science","React, Python, ML, Docker",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"Python, Data Science, React, Docker, ML, Web Development, Cloud Computing","React, Docker, ML"
Bachelor,3-5 years,"Web Development, Data Science, Machine Learning","ML, Python, React, AWS, SQL","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, Data Science, AWS, React, ML, SQL, Web Development","AWS, React, ML, SQL"
Master,5+ years,"Cybersecurity, Cloud Computing","AWS, SQL, Docker, ML",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"AWS, Cybersecurity, Docker, ML, SQL, Cloud Computing","AWS, Docker, ML, SQL"
PhD,5+ years,"Web Development, Cybersecurity, Cloud Computing","Docker, Python, React, AWS","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Cybersecurity, AWS, React, Docker, Web Development, Cloud Computing","AWS, React, Docker"
Bachelor,0-1 years,"Data Science, Cybersecurity","Python, Java, SQL, React","Azure Fundamentals, AWS Certified",IT,Data Scientist,"AWS Training, Azure Fundamentals","Python, Data Science, Cybersecurity, Java, SQL, React","Java, SQL, React"
Master,0-1 years,"Data Science, Web Development","React, Java, AWS",Azure Fundamentals,IT,Web Developer,Azure Fundamentals,"Data Science, AWS, React, Java, Web Development","AWS, React, Java"
Master,5+ years,"Web Development, Data Science, Machine Learning","ML, SQL, Python",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Data Science, ML, SQL, Web Development","ML, SQL"
PhD,0-1 years,"Cloud Computing, Data Science, AI","React, Docker, ML, AWS, Java",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Data Science, AWS, AI, Docker, ML, Java, React, Cloud Computing","AWS, Docker, ML, Java, React"
Bachelor,3-5 years,"Cloud Computing, AI, Cybersecurity","Python, AWS, ML, SQL, React","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, Cybersecurity, AI, ML, SQL, React, Cloud Computing","AWS, ML, SQL, React"
PhD,0-1 years,"Data Science, Cloud Computing","Java, Docker, ML, Python",Azure Fundamentals,IT,Cloud Engineer,Azure Fundamentals,"Python, Data Science, Docker, Java, ML, Cloud Computing","Docker, Java, ML"
Bachelor,3-5 years,Web Development,"ML, Python, Docker",AWS Certified,IT,Web Developer,AWS Training,"Python, Web Development, ML, Docker","ML, Docker"
Bachelor,5+ years,"AI, Web Development","Java, React, ML, AWS, Python",AWS Certified,IT,AI Engineer,AWS Training,"Python, AWS, React, AI, Java, ML, Web Development","AWS, React, Java, ML"
Bachelor,0-1 years,"Cloud Computing, AI","AWS, Docker, React, SQL, ML","Azure Fundamentals, Google Data Engineer",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","AWS, AI, Docker, ML, SQL, React, Cloud Computing","AWS, Docker, ML, SQL, React"
PhD,5+ years,"AI, Data Science, Machine Learning","React, ML, Docker, AWS, Python",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, Data Science, AWS, AI, Docker, ML, React","AWS, Docker, ML, React"
PhD,3-5 years,"Web Development, Cybersecurity, Data Science","SQL, ML, Java, Docker","AWS Certified, Azure Fundamentals",IT,Web Developer,"AWS Training, Azure Fundamentals","Data Science, Cybersecurity, Docker, ML, Java, SQL, Web Development","Docker, ML, Java, SQL"
Bachelor,5+ years,"Cybersecurity, Machine Learning","Java, React, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Cybersecurity, Java, ML, React","Java, ML, React"
Master,3-5 years,Machine Learning,"Docker, Python, AWS, ML",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"Machine Learning, Python, AWS, Docker, ML","AWS, Docker, ML"
Bachelor,5+ years,"Cloud Computing, Data Science","React, AWS, Docker, ML, SQL",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"Data Science, AWS, Docker, ML, SQL, React, Cloud Computing","AWS, Docker, ML, SQL, React"
Master,1-3 years,"Data Science, Cloud Computing, Cybersecurity","React, Java, Python, AWS",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, Data Science, Cybersecurity, AWS, Java, React, Cloud Computing","AWS, Java, React"
Bachelor,3-5 years,Cloud Computing,"React, ML, AWS",AWS Certified,IT,Cloud Engineer,AWS Training,"AWS, React, ML, Cloud Computing","AWS, React, ML"
Bachelor,1-3 years,"Machine Learning, Web Development","AWS, Java, Python","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Python, AWS, Java, Web Development","AWS, Java"
Master,0-1 years,Cloud Computing,"AWS, ML, Java, Docker, SQL",Google Data Engineer,IT,Cloud Engineer,Google Cloud Certification,"AWS, Docker, Java, ML, SQL, Cloud Computing","AWS, Docker, Java, ML, SQL"
PhD,5+ years,"Data Science, Cybersecurity","Docker, SQL, Java",Google Data Engineer,IT,Data Scientist,Google Cloud Certification,"Data Science, Cybersecurity, Docker, Java, SQL","Docker, Java, SQL"
Master,3-5 years,Cloud Computing,"React, Python, SQL, ML, AWS",AWS Certified,IT,Cloud Engineer,AWS Training,"Python, AWS, ML, SQL, React, Cloud Computing","AWS, ML, SQL, React"
Master,5+ years,"Cybersecurity, Web Development, Data Science","AWS, Java, React, Python, Docker","Azure Fundamentals, Google Data Engineer",IT,Web Developer,"Azure Fundamentals, Google Cloud Certification","Python, Data Science, AWS, Cybersecurity, React, Docker, Java, Web Development","AWS, React, Docker, Java"
Bachelor,1-3 years,"Web Development, Cybersecurity","ML, Java, Python","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Cybersecurity, Java, ML, Web Development","Java, ML"
Master,0-1 years,Cybersecurity,"Python, Java, React, SQL, Docker",Google Data Engineer,IT,Software Engineer,Google Cloud Certification,"Python, Cybersecurity, Docker, Java, SQL, React","Docker, Java, SQL, React"
Bachelor,0-1 years,"Data Science, Cloud Computing","Docker, Python, AWS, SQL, React",Azure Fundamentals,IT,Cloud Engineer,Azure Fundamentals,"Python, Data Science, AWS, Docker, SQL, React, Cloud Computing","AWS, Docker, SQL, React"
Bachelor,5+ years,AI,"SQL, Java, React",Azure Fundamentals,IT,AI Engineer,Azure Fundamentals,"AI, SQL, React, Java","SQL, React, Java"
PhD,0-1 years,Machine Learning,"ML, AWS, SQL, Java",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, AWS, Java, ML, SQL","AWS, Java, ML, SQL"
Bachelor,3-5 years,AI,"ML, Python, Docker, Java, AWS","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, AI, Docker, Java, ML","AWS, Docker, Java, ML"
Bachelor,1-3 years,"AI, Cybersecurity","AWS, Docker, Python, ML, React","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Python, AWS, Cybersecurity, AI, Docker, ML, React","AWS, Docker, ML, React"
Master,1-3 years,"Cybersecurity, Machine Learning, Data Science","ML, SQL, Python",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, Data Science, Cybersecurity, ML, SQL","ML, SQL"
PhD,5+ years,"Data Science, AI","Docker, React, Java, ML","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Data Science, AI, Docker, Java, ML, React","Docker, Java, ML, React"
PhD,0-1 years,"Web Development, Data Science","Docker, ML, SQL","AWS Certified, Google Data Engineer",IT,Web Developer,"AWS Training, Google Cloud Certification","Data Science, Docker, ML, SQL, Web Development","Docker, ML, SQL"
PhD,3-5 years,Cloud Computing,"Java, ML, Docker","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Docker, Java, Cloud Computing, ML","Docker, Java, ML"
PhD,0-1 years,"Web Development, Machine Learning, Cloud Computing","Java, React, Docker","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, React, Docker, Java, Web Development, Cloud Computing","React, Docker, Java"
Bachelor,0-1 years,Machine Learning,"Java, ML, Docker","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Machine Learning, Java, Docker, ML","Java, Docker, ML"
PhD,0-1 years,Data Science,"SQL, Java, Docker, React, ML","AWS Certified, Google Data Engineer",IT,Data Scientist,"AWS Training, Google Cloud Certification","Data Science, Docker, Java, ML, SQL, React","Docker, Java, ML, SQL, React"
PhD,3-5 years,"Web Development, Cybersecurity, AI","ML, Java, Docker","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Cybersecurity, AI, Docker, Java, ML, Web Development","Docker, Java, ML"
Bachelor,5+ years,AI,"ML, React, Python, Docker, AWS","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Python, AWS, AI, Docker, ML, React","AWS, Docker, ML, React"
Bachelor,0-1 years,Machine Learning,"SQL, Java, AWS, Docker","Google Data Engineer, Azure Fundamentals",IT,AI Engineer,"Azure Fundamentals, Google Cloud Certification","Machine Learning, AWS, Docker, Java, SQL","AWS, Docker, Java, SQL"
Bachelor,5+ years,"AI, Machine Learning, Web Development","Java, Docker, SQL, React",AWS Certified,IT,AI Engineer,AWS Training,"Machine Learning, React, AI, Docker, Java, SQL, Web Development","React, Docker, Java, SQL"
Bachelor,1-3 years,"Cybersecurity, Data Science, AI","AWS, React, Java, ML, SQL","AWS Certified, Azure Fundamentals",IT,AI Engineer,"AWS Training, Azure Fundamentals","Data Science, AWS, Cybersecurity, AI, Java, ML, SQL, React","AWS, Java, ML, SQL, React"
Bachelor,3-5 years,"Cloud Computing, AI","Docker, Java, ML, AWS, SQL","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","AWS, AI, Docker, Java, ML, SQL, Cloud Computing","AWS, Docker, Java, ML, SQL"
PhD,1-3 years,Web Development,"Python, SQL, ML, Docker, Java","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, Docker, ML, Java, SQL, Web Development","Docker, ML, Java, SQL"
PhD,3-5 years,"Cybersecurity, Data Science, Cloud Computing","SQL, Docker, Python","AWS Certified, Google Data Engineer",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, Data Science, Cybersecurity, Docker, SQL, Cloud Computing","Docker, SQL"
Master,3-5 years,"AI, Web Development, Cloud Computing","Docker, AWS, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"AWS, AI, Docker, ML, Web Development, Cloud Computing","AWS, Docker, ML"
PhD,1-3 years,"Cybersecurity, Web Development, AI","React, ML, AWS, Java, Docker",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Cybersecurity, AWS, React, AI, Docker, ML, Java, Web Development","AWS, React, Docker, ML, Java"
Bachelor,0-1 years,Data Science,"Java, Python, ML","AWS Certified, Google Data Engineer",IT,Data Scientist,"AWS Training, Google Cloud Certification","Data Science, Python, Java, ML","Java, ML"
Bachelor,5+ years,Web Development,"AWS, Python, Docker, Java, ML","Azure Fundamentals, AWS Certified",IT,Web Developer,"AWS Training, Azure Fundamentals","Python, AWS, Docker, Java, ML, Web Development","AWS, Docker, Java, ML"
Master,3-5 years,"Web Development, AI","Python, Java, Docker, React","Azure Fundamentals, AWS Certified",IT,AI Engineer,"AWS Training, Azure Fundamentals","Python, React, AI, Docker, Java, Web Development","React, Docker, Java"
Master,1-3 years,"Data Science, Machine Learning","Docker, AWS, Java, React",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Data Science, AWS, Docker, Java, React","AWS, Docker, Java, React"
PhD,5+ years,"Machine Learning, AI","Docker, React, Python",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Machine Learning, Python, AI, Docker, React","Docker, React"
Bachelor,0-1 years,"Cybersecurity, Data Science, Cloud Computing","ML, Docker, Python, Java","Google Data Engineer, AWS Certified",IT,Cloud Engineer,"AWS Training, Google Cloud Certification","Python, Data Science, Cybersecurity, Docker, ML, Java, Cloud Computing","Docker, ML, Java"
Master,0-1 years,"AI, Machine Learning","ML, SQL, React, Java, AWS","AWS Certified, Google Data Engineer",IT,AI Engineer,"AWS Training, Google Cloud Certification","Machine Learning, AWS, AI, ML, Java, SQL, React","AWS, ML, Java, SQL, React"
Bachelor,1-3 years,"Cloud Computing, Data Science, AI","Python, AWS, ML",Google Data Engineer,IT,AI Engineer,Google Cloud Certification,"Python, Data Science, AWS, AI, ML, Cloud Computing","AWS, ML"
