Job Role,Skills,Certifications,Courses,Projects,Experience Level,Education,Industry,Keywords,Technologies
AI Engineer,"Java, C++, SQL, Kubernetes, Python","Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Machine Learning, Cloud Computing, Web Development","Data Visualization Tool, Network Security System",Mid,B.Tech in Computer Science,Cybersecurity,"JavaScript, Docker, TensorFlow, NodeJS","Azure, Docker, Git"
Data Scientist,"Python, Java, NodeJS, JavaScript","Oracle Certified DBA, Microsoft Azure Administrator","Cloud Computing, Data Structures, Web Development","Chatbot Development, Fake News Detection",Mid,Diploma in IT,IT,"SQL, Java","Azure, Kubernetes"
Backend Developer,"JavaScript, SQL, Kubernetes",Google Cloud Professional,"Cloud Computing, Cybersecurity Fundamentals, Machine Learning, Data Structures",Network Security System,Entry,BCA,Cloud Computing,"Docker, TensorFlow, SQL","Docker, AWS"
Frontend Developer,"ReactJS, TensorFlow, Java, Docker","AWS Certified Developer, Google Cloud Professional, Oracle Certified DBA","Cloud Computing, Data Structures",Network Security System,Mid,MCA,Cloud Computing,"TensorFlow, ReactJS, Java","Git, Kubernetes"
Database Administrator,"TensorFlow, Java, Kubernetes, Python","Microsoft Azure Administrator, Oracle Certified DBA, Certified Data Scientist","Web Development, Data Structures, Cybersecurity Fundamentals",Data Visualization Tool,Mid,BCA,AI,"Python, SQL, C++, Docker","Azure, Git"
AI Engineer,"TensorFlow, NodeJS, C++, Python, JavaScript","Microsoft Azure Administrator, Oracle Certified DBA, Certified Data Scientist","Cybersecurity Fundamentals, Web Development, Cloud Computing","Data Visualization Tool, Chatbot Development",Senior,MCA,Cybersecurity,"Java, JavaScript, C++","Azure, Git"
Full Stack Developer,"Python, C++, Kubernetes, ReactJS, SQL","Google Cloud Professional, Microsoft Azure Administrator","Machine Learning, Web Development, Data Structures","Fake News Detection, E-commerce Website",Mid,BCA,AI,"SQL, TensorFlow, NodeJS, Python","Azure, Kubernetes"
Backend Developer,"SQL, Docker, TensorFlow, Kubernetes",Microsoft Azure Administrator,"Data Structures, Machine Learning, Cloud Computing",E-commerce Website,Mid,B.Tech in Computer Science,Software,"Docker, SQL, Python","Kubernetes, AWS"
Cybersecurity Analyst,"Kubernetes, JavaScript, Python, C++, ReactJS","Google Cloud Professional, Microsoft Azure Administrator, Certified Data Scientist","Data Structures, Web Development, Machine Learning",Chatbot Development,Entry,Diploma in IT,Cybersecurity,"Kubernetes, SQL","AWS, Azure, Kubernetes"
Cloud Architect,"C++, NodeJS, Java, Python, TensorFlow","AWS Certified Developer, Microsoft Azure Administrator","Web Development, Cybersecurity Fundamentals","Data Visualization Tool, Network Security System",Entry,MCA,Software,"Docker, NodeJS","Azure, Docker"
Frontend Developer,"Java, SQL, NodeJS",Google Cloud Professional,"Cybersecurity Fundamentals, Web Development, Machine Learning, Data Structures","Network Security System, Data Visualization Tool",Mid,BCA,Cybersecurity,"TensorFlow, Python, ReactJS","AWS, Kubernetes"
Backend Developer,"C++, ReactJS, Kubernetes",Certified Data Scientist,"Web Development, Cybersecurity Fundamentals",Chatbot Development,Senior,B.Tech in Computer Science,IT,"SQL, Docker, Java, Kubernetes","Azure, Docker"
Software Engineer,"Kubernetes, SQL, Python, Docker, JavaScript","Google Cloud Professional, AWS Certified Developer","Cloud Computing, Web Development, Cybersecurity Fundamentals","Data Visualization Tool, Network Security System",Senior,B.Tech in Computer Science,IT,"Kubernetes, SQL","Git, Docker"
Full Stack Developer,"C++, Python, Kubernetes",Google Cloud Professional,"Web Development, Cloud Computing, Cybersecurity Fundamentals, Machine Learning",Network Security System,Mid,Diploma in IT,Cloud Computing,"SQL, TensorFlow","Azure, Git, Docker"
Frontend Developer,"ReactJS, NodeJS, C++",AWS Certified Developer,"Cybersecurity Fundamentals, Cloud Computing","E-commerce Website, Network Security System",Mid,MCA,IT,"SQL, ReactJS, Python","Kubernetes, Docker, AWS"
Frontend Developer,"Docker, C++, JavaScript","Microsoft Azure Administrator, Certified Data Scientist, Google Cloud Professional","Web Development, Cloud Computing",Fake News Detection,Mid,MCA,AI,"ReactJS, C++, NodeJS, Kubernetes","Git, Docker"
Frontend Developer,"C++, NodeJS, TensorFlow, ReactJS, JavaScript","Google Cloud Professional, Oracle Certified DBA","Data Structures, Cybersecurity Fundamentals, Cloud Computing, Web Development",E-commerce Website,Senior,M.Sc in Data Science,AI,"ReactJS, C++","Kubernetes, AWS"
DevOps Engineer,"NodeJS, Python, TensorFlow, ReactJS, C++",Certified Data Scientist,"Cloud Computing, Web Development, Machine Learning, Data Structures",E-commerce Website,Entry,MCA,AI,"JavaScript, Docker, ReactJS, Python","Azure, Git, Kubernetes"
Backend Developer,"ReactJS, Kubernetes, C++","Google Cloud Professional, AWS Certified Developer","Data Structures, Web Development",Network Security System,Entry,B.Tech in Computer Science,Cybersecurity,"ReactJS, TensorFlow, Java, Kubernetes","Git, Kubernetes, Docker"
Software Engineer,"JavaScript, ReactJS, C++","Google Cloud Professional, Certified Data Scientist","Cloud Computing, Cybersecurity Fundamentals, Data Structures, Web Development","E-commerce Website, Chatbot Development",Entry,Diploma in IT,Software,"Java, JavaScript, ReactJS, Python","Azure, AWS, Docker"
Software Engineer,"Java, Python, Docker, JavaScript","Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Machine Learning, Web Development, Data Structures",E-commerce Website,Senior,BCA,AI,"ReactJS, NodeJS, SQL, C++","Azure, AWS, Git"
AI Engineer,"TensorFlow, Docker, Java, NodeJS",Oracle Certified DBA,"Cybersecurity Fundamentals, Cloud Computing",Chatbot Development,Entry,Diploma in IT,AI,"Docker, Kubernetes","AWS, Azure, Kubernetes"
DevOps Engineer,"Python, ReactJS, TensorFlow, JavaScript, Docker","Certified Data Scientist, Microsoft Azure Administrator, Google Cloud Professional","Data Structures, Cybersecurity Fundamentals","E-commerce Website, Data Visualization Tool",Mid,B.Tech in Computer Science,Cloud Computing,"ReactJS, NodeJS, SQL","AWS, Azure, Docker"
Frontend Developer,"TensorFlow, JavaScript, Kubernetes","Oracle Certified DBA, Microsoft Azure Administrator","Data Structures, Cybersecurity Fundamentals, Cloud Computing",Chatbot Development,Mid,BCA,Software,"C++, NodeJS","AWS, Kubernetes"
Frontend Developer,"Python, NodeJS, C++, TensorFlow, SQL","Microsoft Azure Administrator, Certified Data Scientist","Machine Learning, Data Structures, Web Development, Cybersecurity Fundamentals","E-commerce Website, Chatbot Development",Senior,MCA,Software,"JavaScript, TensorFlow, Kubernetes, C++","Docker, Azure"
DevOps Engineer,"Java, NodeJS, TensorFlow",Oracle Certified DBA,"Data Structures, Web Development, Cloud Computing, Machine Learning",Network Security System,Entry,MCA,Cloud Computing,"NodeJS, C++, TensorFlow, Python","AWS, Git"
Full Stack Developer,"TensorFlow, ReactJS, NodeJS","Certified Data Scientist, AWS Certified Developer","Machine Learning, Data Structures, Cloud Computing, Web Development",Chatbot Development,Entry,MCA,IT,"Docker, Java, SQL, Python","Git, Docker, AWS"
Cloud Architect,"JavaScript, NodeJS, Docker, ReactJS","Google Cloud Professional, Certified Data Scientist, AWS Certified Developer","Web Development, Data Structures, Machine Learning, Cybersecurity Fundamentals",Chatbot Development,Mid,MCA,Software,"SQL, C++","Kubernetes, Azure, Git"
Data Scientist,"NodeJS, Python, Kubernetes",Microsoft Azure Administrator,"Machine Learning, Web Development, Cybersecurity Fundamentals",Chatbot Development,Mid,B.Tech in Computer Science,Cybersecurity,"Python, Kubernetes","Git, Docker, Kubernetes"
Backend Developer,"Kubernetes, Docker, Python, ReactJS",AWS Certified Developer,"Data Structures, Cloud Computing, Machine Learning","Network Security System, Data Visualization Tool",Senior,BCA,Cybersecurity,"ReactJS, TensorFlow, Kubernetes, Java","Git, Azure"
AI Engineer,"TensorFlow, ReactJS, C++, NodeJS, Java","AWS Certified Developer, Oracle Certified DBA, Google Cloud Professional","Cybersecurity Fundamentals, Machine Learning, Cloud Computing, Web Development","Data Visualization Tool, Network Security System",Mid,M.Sc in Data Science,Software,"Docker, Python","Kubernetes, Git, Docker"
Backend Developer,"Python, C++, SQL",Microsoft Azure Administrator,"Data Structures, Cybersecurity Fundamentals",Network Security System,Mid,BCA,AI,"TensorFlow, ReactJS, Java","Kubernetes, Docker, Git"
Frontend Developer,"SQL, ReactJS, JavaScript, Python, Java",Certified Data Scientist,"Machine Learning, Cloud Computing",Chatbot Development,Mid,M.Sc in Data Science,Cloud Computing,"Java, Python","Kubernetes, Docker"
Cybersecurity Analyst,"Docker, NodeJS, JavaScript, Python, TensorFlow","Oracle Certified DBA, AWS Certified Developer","Cloud Computing, Machine Learning, Data Structures","E-commerce Website, Network Security System",Mid,M.Sc in Data Science,IT,"SQL, TensorFlow","AWS, Docker"
Software Engineer,"Docker, JavaScript, TensorFlow, Java, NodeJS",Google Cloud Professional,"Data Structures, Cloud Computing",Network Security System,Mid,M.Sc in Data Science,Cloud Computing,"JavaScript, Python","Docker, AWS, Kubernetes"
AI Engineer,"NodeJS, C++, Kubernetes, ReactJS, SQL",Google Cloud Professional,"Machine Learning, Cloud Computing, Web Development","Network Security System, E-commerce Website",Entry,MCA,AI,"ReactJS, SQL","AWS, Azure, Git"
Cybersecurity Analyst,"Kubernetes, TensorFlow, Docker, NodeJS, JavaScript","Oracle Certified DBA, Google Cloud Professional, AWS Certified Developer","Web Development, Data Structures, Cybersecurity Fundamentals",Fake News Detection,Senior,MCA,IT,"C++, Python","Docker, AWS, Kubernetes"
Data Scientist,"JavaScript, NodeJS, Java, Kubernetes",AWS Certified Developer,"Cloud Computing, Web Development, Machine Learning, Data Structures","Data Visualization Tool, Network Security System",Entry,B.Tech in Computer Science,AI,"Kubernetes, ReactJS, Java, JavaScript","Docker, AWS, Azure"
Database Administrator,"Python, NodeJS, SQL, C++, ReactJS","AWS Certified Developer, Google Cloud Professional, Microsoft Azure Administrator","Web Development, Cybersecurity Fundamentals, Data Structures, Cloud Computing",Data Visualization Tool,Senior,B.Tech in Computer Science,AI,"Docker, Java","Git, Kubernetes, AWS"
Frontend Developer,"Java, ReactJS, NodeJS, C++",Oracle Certified DBA,"Web Development, Machine Learning, Cybersecurity Fundamentals","Fake News Detection, E-commerce Website",Senior,BCA,IT,"NodeJS, TensorFlow, Kubernetes, JavaScript","Azure, AWS"
Backend Developer,"Python, NodeJS, C++","Google Cloud Professional, Certified Data Scientist","Machine Learning, Cybersecurity Fundamentals, Web Development, Data Structures","Data Visualization Tool, Network Security System",Entry,Diploma in IT,Software,"ReactJS, JavaScript, NodeJS, Kubernetes","Azure, Docker"
Cybersecurity Analyst,"ReactJS, C++, SQL, Java",Microsoft Azure Administrator,"Machine Learning, Cybersecurity Fundamentals, Data Structures",E-commerce Website,Senior,B.Tech in Computer Science,Software,"Docker, TensorFlow, NodeJS, Java","Kubernetes, Docker"
Backend Developer,"Kubernetes, TensorFlow, C++","Microsoft Azure Administrator, Oracle Certified DBA","Machine Learning, Cybersecurity Fundamentals, Web Development","Data Visualization Tool, Network Security System",Senior,BCA,IT,"Kubernetes, SQL, JavaScript","Kubernetes, Docker, Git"
Data Scientist,"ReactJS, SQL, C++","Google Cloud Professional, Microsoft Azure Administrator","Cloud Computing, Data Structures",E-commerce Website,Mid,BCA,AI,"Docker, Python, TensorFlow, Java","Kubernetes, AWS, Azure"
Backend Developer,"Java, Docker, Kubernetes",Certified Data Scientist,"Web Development, Data Structures, Machine Learning",Fake News Detection,Mid,Diploma in IT,AI,"SQL, Kubernetes, C++, Docker","Kubernetes, Docker"
AI Engineer,"Java, ReactJS, Kubernetes","AWS Certified Developer, Microsoft Azure Administrator","Cloud Computing, Cybersecurity Fundamentals, Machine Learning",E-commerce Website,Entry,B.Tech in Computer Science,Cybersecurity,"JavaScript, Python, Kubernetes, SQL","Git, Docker, Kubernetes"
DevOps Engineer,"Docker, Java, ReactJS, C++, SQL","Oracle Certified DBA, AWS Certified Developer","Data Structures, Machine Learning, Web Development, Cloud Computing",Fake News Detection,Mid,MCA,IT,"NodeJS, Docker, ReactJS","Azure, Docker"
Database Administrator,"TensorFlow, C++, Docker","Oracle Certified DBA, Google Cloud Professional","Cybersecurity Fundamentals, Data Structures",Chatbot Development,Senior,Diploma in IT,Software,"Kubernetes, Python","Kubernetes, Docker, Azure"
Database Administrator,"ReactJS, Docker, C++, Python",Oracle Certified DBA,"Web Development, Cybersecurity Fundamentals","E-commerce Website, Fake News Detection",Mid,BCA,Cybersecurity,"SQL, Docker, Python","Git, AWS"
Full Stack Developer,"SQL, NodeJS, Python, TensorFlow","AWS Certified Developer, Google Cloud Professional, Microsoft Azure Administrator","Data Structures, Cybersecurity Fundamentals, Cloud Computing, Web Development",Fake News Detection,Entry,B.Tech in Computer Science,AI,"TensorFlow, Docker","Azure, AWS"
Cybersecurity Analyst,"TensorFlow, SQL, Docker, Python, JavaScript",Microsoft Azure Administrator,"Data Structures, Cybersecurity Fundamentals","Data Visualization Tool, Fake News Detection",Entry,M.Sc in Data Science,Cybersecurity,"NodeJS, Kubernetes, SQL","Kubernetes, Azure"
Data Scientist,"JavaScript, Docker, Python, Java",Certified Data Scientist,"Machine Learning, Cybersecurity Fundamentals, Cloud Computing","Fake News Detection, Network Security System",Entry,BCA,Cybersecurity,"C++, SQL","Git, AWS, Kubernetes"
Backend Developer,"ReactJS, Kubernetes, JavaScript, Python, C++",Certified Data Scientist,"Cloud Computing, Cybersecurity Fundamentals","Network Security System, Fake News Detection",Senior,M.Sc in Data Science,AI,"Java, Docker, JavaScript","Docker, Azure, Git"
Full Stack Developer,"TensorFlow, ReactJS, Java, Python, Docker","Certified Data Scientist, Microsoft Azure Administrator, AWS Certified Developer","Cybersecurity Fundamentals, Data Structures, Cloud Computing","Chatbot Development, Network Security System",Mid,Diploma in IT,AI,"SQL, Python, Kubernetes, Java","Kubernetes, Azure"
Backend Developer,"JavaScript, Kubernetes, Docker, Java, ReactJS",Oracle Certified DBA,"Cloud Computing, Cybersecurity Fundamentals, Web Development","E-commerce Website, Data Visualization Tool",Entry,B.Tech in Computer Science,Cybersecurity,"NodeJS, SQL","Kubernetes, Docker, Git"
DevOps Engineer,"Python, Docker, Kubernetes","Microsoft Azure Administrator, AWS Certified Developer","Cybersecurity Fundamentals, Web Development","Fake News Detection, E-commerce Website",Mid,BCA,Software,"Kubernetes, SQL, ReactJS, Docker","AWS, Docker, Kubernetes"
Cybersecurity Analyst,"NodeJS, Python, Docker, TensorFlow","Oracle Certified DBA, AWS Certified Developer","Machine Learning, Web Development",E-commerce Website,Senior,M.Sc in Data Science,AI,"C++, TensorFlow, Python, Docker","Kubernetes, Docker"
Database Administrator,"Python, NodeJS, TensorFlow, JavaScript, SQL","Google Cloud Professional, Microsoft Azure Administrator, AWS Certified Developer","Cloud Computing, Web Development, Cybersecurity Fundamentals, Machine Learning",E-commerce Website,Senior,MCA,Cloud Computing,"TensorFlow, NodeJS, Java","Azure, Git"
Full Stack Developer,"SQL, Docker, Python, C++",AWS Certified Developer,"Web Development, Machine Learning","Network Security System, E-commerce Website",Senior,B.Tech in Computer Science,Cybersecurity,"C++, SQL","Git, Azure"
Frontend Developer,"ReactJS, TensorFlow, Kubernetes","Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Machine Learning, Cloud Computing","Network Security System, E-commerce Website",Mid,BCA,AI,"SQL, ReactJS, NodeJS","AWS, Kubernetes, Docker"
AI Engineer,"C++, Docker, TensorFlow, Kubernetes",Microsoft Azure Administrator,"Cybersecurity Fundamentals, Web Development, Data Structures",Chatbot Development,Entry,B.Tech in Computer Science,Software,"ReactJS, C++, NodeJS","Kubernetes, Git, Docker"
Backend Developer,"Kubernetes, Docker, ReactJS, JavaScript","Google Cloud Professional, Oracle Certified DBA, Certified Data Scientist","Data Structures, Cloud Computing, Cybersecurity Fundamentals","E-commerce Website, Chatbot Development",Mid,MCA,Software,"TensorFlow, Python","Azure, Kubernetes, AWS"
Data Scientist,"Docker, JavaScript, NodeJS","AWS Certified Developer, Certified Data Scientist, Google Cloud Professional","Web Development, Cloud Computing, Cybersecurity Fundamentals, Machine Learning","Data Visualization Tool, E-commerce Website",Entry,M.Sc in Data Science,Cybersecurity,"JavaScript, Java, Docker, ReactJS","Kubernetes, Docker"
Database Administrator,"Kubernetes, TensorFlow, Docker, ReactJS, Python",Oracle Certified DBA,"Data Structures, Web Development","Network Security System, E-commerce Website",Entry,MCA,IT,"Docker, Python, ReactJS","AWS, Docker"
Backend Developer,"NodeJS, C++, TensorFlow","Oracle Certified DBA, Certified Data Scientist","Cloud Computing, Web Development, Machine Learning, Data Structures","Chatbot Development, Network Security System",Senior,B.Tech in Computer Science,Cybersecurity,"TensorFlow, Kubernetes, NodeJS, SQL","Azure, Docker, Kubernetes"
Backend Developer,"JavaScript, NodeJS, ReactJS",AWS Certified Developer,"Web Development, Data Structures, Cloud Computing, Cybersecurity Fundamentals","Fake News Detection, Chatbot Development",Entry,MCA,IT,"ReactJS, TensorFlow, C++","Git, Kubernetes"
Full Stack Developer,"ReactJS, Docker, TensorFlow, Java, C++","Google Cloud Professional, AWS Certified Developer","Machine Learning, Web Development, Cloud Computing, Data Structures",Chatbot Development,Mid,Diploma in IT,Software,"Java, JavaScript, Kubernetes","Azure, Kubernetes, Docker"
DevOps Engineer,"Java, C++, ReactJS, Docker, TensorFlow",Certified Data Scientist,"Cloud Computing, Data Structures",E-commerce Website,Mid,BCA,Cloud Computing,"JavaScript, NodeJS","AWS, Kubernetes"
Frontend Developer,"JavaScript, C++, SQL, Docker","Certified Data Scientist, Oracle Certified DBA","Data Structures, Machine Learning, Cybersecurity Fundamentals",Network Security System,Mid,B.Tech in Computer Science,Software,"JavaScript, Python, NodeJS, Docker","AWS, Git, Azure"
Backend Developer,"Java, C++, NodeJS",Certified Data Scientist,"Web Development, Machine Learning, Data Structures, Cybersecurity Fundamentals","E-commerce Website, Chatbot Development",Senior,MCA,Software,"Docker, TensorFlow, Python, NodeJS","Kubernetes, Git"
Data Scientist,"JavaScript, C++, Java, SQL",Microsoft Azure Administrator,"Machine Learning, Web Development","Chatbot Development, E-commerce Website",Senior,BCA,Cybersecurity,"SQL, NodeJS, Python","Git, Kubernetes"
Backend Developer,"TensorFlow, SQL, Docker, Kubernetes, Python","Google Cloud Professional, Certified Data Scientist","Web Development, Data Structures",Fake News Detection,Senior,B.Tech in Computer Science,IT,"ReactJS, Docker, SQL","Kubernetes, Git, Docker"
Backend Developer,"Docker, TensorFlow, Python","Microsoft Azure Administrator, Certified Data Scientist","Cloud Computing, Cybersecurity Fundamentals","Network Security System, Fake News Detection",Senior,BCA,Cybersecurity,"JavaScript, Docker, SQL, C++","Git, AWS, Azure"
Cybersecurity Analyst,"Kubernetes, Docker, Python, TensorFlow","Google Cloud Professional, Microsoft Azure Administrator","Machine Learning, Cybersecurity Fundamentals, Cloud Computing, Data Structures","Data Visualization Tool, Fake News Detection",Mid,MCA,IT,"C++, Python, Kubernetes, SQL","Kubernetes, Docker, AWS"
Cloud Architect,"Python, ReactJS, NodeJS, Docker","Google Cloud Professional, Oracle Certified DBA","Cybersecurity Fundamentals, Data Structures, Cloud Computing, Machine Learning","Data Visualization Tool, Network Security System",Senior,MCA,Software,"Java, SQL","Git, Docker, Azure"
Frontend Developer,"Python, NodeJS, Java","AWS Certified Developer, Oracle Certified DBA, Microsoft Azure Administrator","Cybersecurity Fundamentals, Web Development, Data Structures",Network Security System,Entry,BCA,Cybersecurity,"JavaScript, C++","Docker, Git"
Cybersecurity Analyst,"JavaScript, SQL, Docker, Kubernetes",Oracle Certified DBA,"Data Structures, Cloud Computing, Cybersecurity Fundamentals",E-commerce Website,Mid,BCA,Software,"C++, SQL","Kubernetes, Git"
Software Engineer,"Java, SQL, Python",AWS Certified Developer,"Machine Learning, Cybersecurity Fundamentals","Data Visualization Tool, Fake News Detection",Senior,M.Sc in Data Science,AI,"Java, ReactJS, Python, Docker","Azure, Docker, Kubernetes"
Frontend Developer,"Java, SQL, ReactJS, Kubernetes",Microsoft Azure Administrator,"Machine Learning, Cloud Computing, Web Development","Network Security System, Data Visualization Tool",Mid,BCA,IT,"Kubernetes, TensorFlow, Docker, C++","Git, AWS, Docker"
Backend Developer,"Docker, Java, Python","Microsoft Azure Administrator, AWS Certified Developer, Google Cloud Professional","Web Development, Machine Learning",Network Security System,Entry,M.Sc in Data Science,Cloud Computing,"JavaScript, ReactJS","AWS, Git, Azure"
Data Scientist,"Java, NodeJS, SQL, C++",Google Cloud Professional,"Cybersecurity Fundamentals, Web Development, Cloud Computing","Network Security System, Fake News Detection",Senior,M.Sc in Data Science,AI,"Docker, SQL","Kubernetes, AWS"
DevOps Engineer,"SQL, Kubernetes, Docker, JavaScript, C++",Certified Data Scientist,"Data Structures, Machine Learning, Cloud Computing, Web Development",Fake News Detection,Entry,BCA,Cybersecurity,"NodeJS, SQL","Docker, Kubernetes, Azure"
Data Scientist,"C++, JavaScript, SQL, TensorFlow","Certified Data Scientist, Oracle Certified DBA","Machine Learning, Cloud Computing, Cybersecurity Fundamentals, Web Development","Chatbot Development, Fake News Detection",Senior,M.Sc in Data Science,AI,"C++, NodeJS","Azure, Git"
Frontend Developer,"TensorFlow, C++, JavaScript, SQL, Kubernetes","Oracle Certified DBA, Certified Data Scientist","Cybersecurity Fundamentals, Web Development","Data Visualization Tool, Chatbot Development",Senior,Diploma in IT,IT,"Java, Python, C++","Azure, AWS, Git"
Database Administrator,"Python, Docker, SQL, TensorFlow","Certified Data Scientist, Oracle Certified DBA","Machine Learning, Data Structures",Network Security System,Entry,Diploma in IT,Cloud Computing,"Docker, NodeJS","Azure, Kubernetes, Git"
Cloud Architect,"TensorFlow, ReactJS, SQL, Docker","AWS Certified Developer, Google Cloud Professional, Microsoft Azure Administrator","Cloud Computing, Web Development","Chatbot Development, Network Security System",Senior,M.Sc in Data Science,Software,"Python, SQL, ReactJS","Kubernetes, Azure"
Data Scientist,"Python, ReactJS, Docker","Microsoft Azure Administrator, Certified Data Scientist, Google Cloud Professional","Data Structures, Machine Learning, Web Development","Network Security System, Data Visualization Tool",Senior,Diploma in IT,IT,"Kubernetes, C++, Python, ReactJS","Azure, AWS, Git"
Cloud Architect,"Java, Kubernetes, NodeJS","Certified Data Scientist, Google Cloud Professional","Machine Learning, Cybersecurity Fundamentals, Data Structures","E-commerce Website, Data Visualization Tool",Senior,M.Sc in Data Science,Software,"JavaScript, C++, Java","Docker, Git, AWS"
Data Scientist,"SQL, C++, Java, NodeJS",AWS Certified Developer,"Data Structures, Cloud Computing, Web Development, Machine Learning",Chatbot Development,Senior,BCA,Software,"JavaScript, SQL, Docker, TensorFlow","AWS, Kubernetes"
Database Administrator,"C++, TensorFlow, Docker, Python","Microsoft Azure Administrator, Oracle Certified DBA","Cloud Computing, Machine Learning, Cybersecurity Fundamentals","Fake News Detection, Chatbot Development",Mid,B.Tech in Computer Science,Cloud Computing,"JavaScript, Python, Kubernetes, ReactJS","Docker, Git"
Backend Developer,"Docker, Python, ReactJS, Java","Google Cloud Professional, Certified Data Scientist, AWS Certified Developer","Cybersecurity Fundamentals, Web Development","Data Visualization Tool, Chatbot Development",Entry,BCA,AI,"JavaScript, Python, Docker, Java","Git, Docker"
Backend Developer,"SQL, Python, C++, TensorFlow, NodeJS",AWS Certified Developer,"Web Development, Cloud Computing, Data Structures, Machine Learning",Fake News Detection,Entry,B.Tech in Computer Science,Cloud Computing,"C++, Java","Docker, Kubernetes"
Full Stack Developer,"Java, JavaScript, ReactJS","Oracle Certified DBA, Microsoft Azure Administrator, Google Cloud Professional","Data Structures, Web Development, Machine Learning",Network Security System,Mid,BCA,IT,"JavaScript, C++, Java","Docker, Kubernetes, Git"
Software Engineer,"ReactJS, JavaScript, C++, Kubernetes, Docker","Microsoft Azure Administrator, AWS Certified Developer","Machine Learning, Data Structures, Cybersecurity Fundamentals, Web Development","Chatbot Development, Data Visualization Tool",Mid,B.Tech in Computer Science,IT,"NodeJS, SQL","Docker, Kubernetes, Azure"
Full Stack Developer,"Java, C++, JavaScript, Python, Kubernetes",Microsoft Azure Administrator,"Data Structures, Cloud Computing, Web Development","Fake News Detection, E-commerce Website",Mid,M.Sc in Data Science,IT,"Python, TensorFlow, Java, Docker","Git, Azure"
Software Engineer,"SQL, ReactJS, Python, C++","Google Cloud Professional, Oracle Certified DBA, Microsoft Azure Administrator","Machine Learning, Cloud Computing, Data Structures, Cybersecurity Fundamentals",Data Visualization Tool,Mid,Diploma in IT,Software,"Java, Kubernetes, NodeJS","Docker, Azure"
Database Administrator,"Kubernetes, Java, JavaScript, NodeJS, C++",Google Cloud Professional,"Data Structures, Cybersecurity Fundamentals",Data Visualization Tool,Mid,B.Tech in Computer Science,Cybersecurity,"SQL, Docker","Kubernetes, Docker, Git"
Database Administrator,"Kubernetes, SQL, ReactJS, Docker","Certified Data Scientist, Google Cloud Professional, Microsoft Azure Administrator","Data Structures, Machine Learning, Web Development","E-commerce Website, Fake News Detection",Mid,M.Sc in Data Science,Cybersecurity,"NodeJS, Kubernetes, Docker, SQL","Docker, Azure"
Full Stack Developer,"SQL, Kubernetes, TensorFlow",Google Cloud Professional,"Data Structures, Web Development","Network Security System, Data Visualization Tool",Senior,Diploma in IT,Software,"NodeJS, TensorFlow, Docker, C++","Docker, AWS"
Software Engineer,"SQL, C++, Python, Docker, NodeJS",Google Cloud Professional,"Machine Learning, Cybersecurity Fundamentals",E-commerce Website,Mid,Diploma in IT,Software,"Docker, SQL","AWS, Azure"
Data Scientist,"NodeJS, SQL, Python, TensorFlow, Java",Oracle Certified DBA,"Data Structures, Machine Learning, Web Development","Chatbot Development, Network Security System",Senior,MCA,IT,"Python, Docker","Docker, Git, Kubernetes"
Software Engineer,"Kubernetes, SQL, TensorFlow, Java, NodeJS",Microsoft Azure Administrator,"Cybersecurity Fundamentals, Web Development",Fake News Detection,Entry,Diploma in IT,Cybersecurity,"ReactJS, Python, NodeJS, Java","AWS, Azure, Docker"
Full Stack Developer,"Python, Docker, Kubernetes, ReactJS",Google Cloud Professional,"Cybersecurity Fundamentals, Data Structures",Chatbot Development,Mid,Diploma in IT,Software,"Python, Docker, Kubernetes","Kubernetes, AWS, Git"
Backend Developer,"Kubernetes, C++, JavaScript",Google Cloud Professional,"Web Development, Data Structures","Chatbot Development, E-commerce Website",Entry,M.Sc in Data Science,Cybersecurity,"Kubernetes, Python, TensorFlow, Java","Azure, Docker"
Cybersecurity Analyst,"C++, Docker, Java","Microsoft Azure Administrator, Google Cloud Professional","Data Structures, Machine Learning, Cybersecurity Fundamentals, Cloud Computing","Network Security System, E-commerce Website",Senior,B.Tech in Computer Science,IT,"NodeJS, TensorFlow, ReactJS","Docker, Azure, Git"
Frontend Developer,"ReactJS, Java, JavaScript, SQL","Google Cloud Professional, Certified Data Scientist","Cybersecurity Fundamentals, Cloud Computing",Data Visualization Tool,Entry,Diploma in IT,Cloud Computing,"Java, Python","AWS, Azure"
Backend Developer,"NodeJS, TensorFlow, ReactJS, Java, Kubernetes","Certified Data Scientist, Google Cloud Professional","Cloud Computing, Machine Learning","Network Security System, E-commerce Website",Entry,Diploma in IT,Software,"Python, Docker, JavaScript","Docker, AWS"
Cybersecurity Analyst,"Python, Java, TensorFlow","AWS Certified Developer, Oracle Certified DBA, Microsoft Azure Administrator","Machine Learning, Cybersecurity Fundamentals",Data Visualization Tool,Entry,M.Sc in Data Science,AI,"NodeJS, Python","Azure, AWS"
Full Stack Developer,"Docker, Kubernetes, ReactJS, Python","Microsoft Azure Administrator, AWS Certified Developer","Data Structures, Web Development, Machine Learning, Cloud Computing","E-commerce Website, Chatbot Development",Mid,M.Sc in Data Science,Cybersecurity,"NodeJS, JavaScript, Kubernetes","Git, Azure"
